YM,M_10,M_20,M_30,M_40,M_50,M_60,M_70,M_80,F_10,F_20,F_30,F_40,F_50,F_60,F_70,F_80
201101,20055,57511,63426,109815,123668,80658,26896,6368,18554,56586,90068,75919,75133,55318,19640,5410
201102,18444,33012,54383,103162,109919,73798,26203,5879,17529,34433,79658,66642,59621,52168,20212,5359
201103,8430,8115,41100,103781,96896,63894,27747,6196,8141,7785,53713,48062,39323,56353,26444,5534
201104,10571,9483,40668,106123,96435,61578,26338,6836,9956,9269,54874,52832,40662,52500,25949,5790
201105,14820,18130,47204,116997,107718,71174,29459,8297,13953,17314,66642,64758,49341,57995,28104,7134
201106,15743,16620,54606,116850,111693,74653,29318,7604,15167,21315,79741,68294,50490,55630,25022,6290
201107,27942,51169,66833,114509,112144,70122,23345,5889,26429,53947,99370,83231,64313,48505,18562,5295
201108,24529,49647,78024,114993,103062,66892,21243,4590,22976,50331,114700,83171,61088,48486,16400,4117
201109,14461,15282,55443,111863,97697,65443,25840,6205,13657,16645,84534,67323,43126,52296,23067,5112
201110,12842,12754,53156,121005,102893,65090,26502,6814,12246,12722,70376,64033,44115,52750,25125,5612
201111,12271,11737,49959,116181,105559,68773,24394,6213,11998,11671,62910,58284,43995,46850,19838,4936
201112,21578,29835,53289,102163,97966,60043,20032,5135,20174,33250,71191,64041,48206,39079,16278,4696
201201,19530,51650,60911,99378,112037,80891,25271,6660,18404,50412,84722,71565,69733,56162,18954,5786
201202,17298,31661,55057,107001,118345,85932,28376,6795,16479,32554,73599,66317,64087,60741,22055,5868
201203,9741,8407,44652,111647,102091,75185,31434,7936,9442,8596,62037,58314,45208,68982,29892,6959
201204,12101,10078,41673,109837,99655,68710,28743,7837,11724,9007,59626,60226,44217,66154,29702,6983
201205,15254,16200,43203,111875,109220,76812,29246,8585,14393,16400,63313,66469,52236,65246,28543,7555
201206,17062,16255,56618,118583,107356,74438,27430,7721,16201,20171,84519,73981,49580,56201,23858,6422
201207,28836,54297,72804,120220,114468,72701,21980,6055,26999,56377,106215,88615,66476,50527,18417,5480
201208,26822,50435,83593,120014,105857,73129,22054,5033,25536,51283,124400,91852,66389,55840,17686,4602
201209,16837,16670,58624,118894,99557,67158,24734,6324,15888,17022,91105,77845,46101,53480,21305,5413
201210,16428,16762,55983,129438,112988,77473,30264,8017,15491,14829,74994,71986,50438,67042,29230,6962
201211,15699,13620,54424,126626,115451,79057,27878,7066,15148,13679,71553,71506,53634,60354,23744,6064
201212,26372,34447,60460,112103,107985,68990,22053,6086,24882,37055,87231,78792,60776,48957,18838,5651
201301,22657,59946,69733,114898,134695,99285,32350,8225,21439,58831,96316,82158,85862,69519,23376,6997
201302,21712,35933,54156,97972,109483,80139,28493,7437,20532,36911,79198,72219,68831,61130,23781,6515
201303,12268,9842,47520,118568,107225,78703,35046,9393,11870,9146,70574,68637,50017,74096,34265,7890
201304,14448,9232,43269,118305,104717,72067,31239,9222,13856,9226,63557,68837,49147,69112,34125,8302
201305,18617,15477,48234,124410,112425,78702,30759,9385,17683,16055,73467,79964,56974,67247,31412,8511
201306,21270,18523,60600,126323,114434,79075,30422,8863,20881,22730,91491,85702,56990,62870,27562,7610
201307,32673,55599,76578,128211,122110,78815,24997,7143,31621,58031,112334,98101,74987,56338,20907,6577
201308,28825,50275,88088,129897,112716,77456,23857,5575,27108,51381,125663,99115,70664,57905,18700,5157
201309,21113,18983,63945,126604,106043,77083,30475,8002,20290,18982,101779,89835,53121,64033,26292,6650
201310,19290,16650,57390,138211,120438,81895,32212,9046,18661,15712,81857,86397,60214,72104,31080,7591
201311,17484,13885,54658,131590,120789,84231,31298,8557,16879,14180,72690,76288,58439,64719,26803,6986
201312,27028,35117,61115,118347,114597,74945,25264,7081,25784,38443,84931,81730,64821,52878,21322,6444
201401,26439,63640,72587,114363,131194,97638,33287,9041,25283,61759,105380,91735,95922,74931,25200,8323
201402,22496,40858,63686,113629,126479,94171,33404,8148,21339,41848,86361,75233,78241,72094,27449,7332
201403,13793,10358,47671,123848,111234,83549,37480,9850,13595,9152,72252,73036,55030,82307,38123,8619
201404,18387,10115,47274,128300,112201,80059,34502,9913,17775,9325,72739,81514,56008,76860,36982,8915
201405,21796,15616,51845,127295,111469,79175,33426,10081,21069,15304,83925,89394,62251,73444,34387,9064
201406,23278,19045,64113,132740,116758,82326,33553,10107,22389,24065,101709,92915,61770,69662,31530,8409
201407,34598,54762,78593,130610,125224,82262,28256,7959,32670,57557,119419,103608,84088,63609,24177,7509
201408,34003,53517,102251,146716,123472,85276,27786,6674,32488,54813,144409,114155,82457,67081,22120,5974
201409,22229,18875,71203,137239,113997,84833,36872,9839,21545,19291,111890,98712,61221,80024,34831,8415
201410,24701,20341,64156,150315,134174,96174,38080,10424,24054,19838,97646,102961,75769,87938,37329,9117
201411,21048,17655,58407,137760,129713,93656,35781,9436,20313,17078,80360,87333,68347,75737,30820,8208
201412,33517,40875,75427,134309,131262,89551,30571,8481,31474,46163,109156,101189,83021,66444,25668,8107
201501,33143,83129,92616,133442,161365,124880,44195,11552,31958,81629,130787,107191,124423,100854,34388,10514
201502,28876,48093,75617,113535,122956,94032,37018,9642,27741,50548,116598,93604,87939,79845,31393,9222
201503,18213,14660,61523,142894,131443,101442,48356,12807,17852,12879,97486,91044,71542,107073,51204,11870
201504,25934,14508,56649,143701,133605,100772,48828,14446,25304,13678,91389,102160,78877,110670,54865,13777
201505,30005,25616,64334,149840,139247,102249,44562,13958,28882,25692,105746,111587,86467,98899,47770,13328
201506,25318,22933,74344,134229,118863,87232,37796,10498,24550,29241,116120,95734,68511,79887,36133,9599
201507,39448,64830,98874,146420,138774,93174,31824,8578,38272,68601,150029,118397,97507,76397,27778,8191
201508,39453,61516,126736,162589,138373,99152,35184,8438,37824,63653,173319,127470,98679,85478,29734,7841
201509,31024,23422,81119,151223,126082,90294,40884,10960,29825,23441,131651,117493,74056,86772,38686,9668
201510,32842,25527,77105,170525,151614,110906,49085,13926,31852,25097,123166,123110,92366,111028,51423,12363
201511,28943,22604,74005,161355,149616,109869,46564,12609,28100,23240,110436,109063,88324,99423,43918,11429
201512,42813,51295,90482,150626,150123,105696,38668,10685,41142,60304,136685,121038,106053,86410,34263,10377
201601,39894,93309,108375,144040,173649,134626,51881,12941,38473,91661,155422,119542,140298,115958,42758,12423
201602,37355,64941,96345,132901,150077,119457,49797,12543,35531,70092,149842,112635,116814,106378,43688,12027
201603,21350,15491,65978,143500,135804,105482,54864,13992,21030,13553,108258,97219,79532,115881,58948,13262
201604,31122,17073,65494,155372,143710,104173,52506,14528,30306,15946,109204,115142,86594,114037,60783,13939
201605,33016,26008,69031,154128,147525,107349,49273,14682,31872,26302,111174,113760,89487,102735,52524,13591
201606,34776,29409,93092,159705,148133,111834,51148,13540,33563,38624,152893,125196,92998,104149,48954,11764
201607,50511,80667,125474,167873,162101,113553,42091,11165,48426,87098,186733,140645,123732,98553,37506,10660
201608,47144,70911,144075,174787,152912,108291,40860,9348,44750,75556,201059,143089,114908,97817,36250,9299
201609,40831,30078,100657,176101,148109,112836,53760,13443,39954,31842,174002,147595,97174,115229,52986,12265
201610,38619,27137,86920,179274,156735,110460,53053,14347,37371,27516,139443,134294,99980,116661,57641,13412
201611,36087,26120,84044,173002,163487,119509,53220,13614,35264,27511,131216,127008,104372,113563,51143,12466
201612,49910,59526,107403,161259,159997,111347,45207,12012,47657,70794,161494,135771,121718,99657,42124,12003
201701,47177,109004,123717,145877,178644,140272,56847,14863,45867,106203,185790,135475,158506,130239,48375,15184
201702,42274,84127,119754,148440,178990,140074,60694,14383,40977,91331,170750,120519,143915,129378,55658,14357
201703,30738,18667,81208,170278,158502,126079,68363,17597,30078,17179,138003,128124,105502,154847,80157,17964
201704,46326,22161,85417,186495,163586,114998,58413,16706,44972,21603,147306,155085,114118,136403,70728,17289
201705,44544,33424,90767,177468,161156,115815,56224,17152,43136,34403,148057,145466,115060,124594,65776,17858
201706,45887,35727,110112,181788,167481,120682,57037,15971,45160,47745,180188,152865,118975,125931,61350,15948
201707,57855,92786,146905,184811,180348,121656,48132,12975,56283,103366,211467,158291,144489,111095,44708,12975
201708,56357,80760,166105,192188,172735,119225,46526,11445,54179,87217,226439,161450,136204,112560,43364,11596
201709,53921,33932,124308,216475,175753,121134,59507,15863,52681,35433,205002,183266,118726,129511,63329,15115
201710,50617,40191,104895,186832,170463,131947,66985,18893,49052,42766,169843,157595,126343,144321,74038,18705
201711,43808,31664,103476,196849,189190,142231,67929,18010,42740,34702,155731,150239,132698,146812,70948,17336
201712,57813,68133,129056,185160,184592,132097,56603,14834,55844,79868,189565,159960,148980,125156,54827,15541
201801,54987,135620,150798,172928,221815,177140,78033,19449,53298,131598,209964,151777,196583,171275,67384,19338
201802,48096,90440,128473,146243,172657,132676,61198,16355,46104,94463,180022,131040,144747,125440,57415,16789
201803,34272,23438,102833,185959,177797,146067,83445,22264,33918,21254,162945,143833,121685,176024,96267,22213
201804,46423,24215,94192,190965,180148,131067,71876,22269,45263,23106,150212,156491,123300,154899,89817,23582
201805,53165,39980,102904,190852,188486,135372,69159,22449,51414,42933,159219,161870,136738,144273,80627,23017
201806,54015,39590,123014,195424,182655,129167,65843,19139,52345,48731,191024,170301,131557,135680,71181,18947
201807,58487,93179,154620,183306,187822,130618,55564,15409,56869,104194,211527,156859,151066,121216,51504,15210
201808,56869,80426,172311,194884,183517,131906,55549,12903,54607,86494,224897,163357,143814,124905,50312,12480
201809,51272,36230,122827,200979,171831,125139,65821,18056,49861,37513,191561,173114,116550,129312,67568,16442
201810,48248,36499,110060,203951,191270,139214,74367,21475,47434,37803,163630,158985,129953,154036,84425,20292
201811,41046,33791,111148,193829,193161,147306,75312,19716,40228,36213,159550,149186,131891,144828,73760,18028
201812,55933,69171,141328,187668,191545,139868,62990,16874,54093,79125,194177,159509,148120,127662,58978,16567
201901,55289,131616,156767,172615,216862,178814,81247,20765,53752,127991,211241,154805,187995,167562,68153,20408
201902,51118,94148,138894,161284,194708,161651,79060,20706,49147,99287,186006,143267,161965,153732,72943,20494
201903,33557,23007,104385,187967,177713,148761,88968,25391,32602,21242,161546,147907,117957,175558,104676,25613
201904,45414,23917,97807,188741,176622,133519,75669,23645,44352,22852,147165,154787,119079,152152,90765,23808
201905,52256,37135,108489,195407,188037,140660,75408,25111,50467,39271,161109,167145,131387,149532,87931,24970
201906,55547,43287,132089,203851,192349,142406,73254,21480,54165,53604,201536,177110,135781,144105,77213,20151
201907,65022,97035,161010,192125,198903,139098,61545,17426,63337,108277,221607,169580,160853,130450,57424,16484
201908,56567,74204,170416,198436,181533,133556,57437,13424,54571,79534,216090,163305,135727,121801,50984,12347
201909,47322,31598,116069,193116,168175,123905,69057,18887,46533,31874,166384,158143,102677,123633,70715,16326
201910,47718,35882,106492,197428,187065,137322,71617,19512,46502,35493,150435,155853,119860,139224,76245,17499
201911,40723,31849,106284,187578,188152,144195,76607,20043,39287,32597,145019,141362,117505,133530,72768,17321
201912,50731,63638,126455,183364,196290,151149,79533,22226,48656,65622,175332,158342,140293,130213,70697,20169
